Unnamed: 0,name,full_name,description,forks_count,stargazers_count,watchers_count,open_issues_count
7602,xorg-x11-drv-vesa,src-openeuler/xorg-x11-drv-vesa,Xorg X11 vesa video driver,5,0,130,0
1924,libdbusmenu,src-openeuler/libdbusmenu,,7,0,130,0
7603,xorg-x11-drv-vmware,src-openeuler/xorg-x11-drv-vmware,Xorg X11 vmware video driver,7,0,130,0
3656,perl-File-Listing,src-openeuler/perl-File-Listing,,1,0,130,0
2274,lua-filesystem,src-openeuler/lua-filesystem,,3,0,130,0
2270,ltrace,src-openeuler/ltrace,,7,0,130,1
4439,perl-Test-Deep,src-openeuler/perl-Test-Deep,,2,0,130,0
4454,perl-Test-FailWarnings,src-openeuler/perl-Test-FailWarnings,,1,0,130,0
3499,perl-Data-UUID,src-openeuler/perl-Data-UUID,,1,0,130,0
4582,perl-Text-Template,src-openeuler/perl-Text-Template,,2,0,130,0
2229,linuxdoc-tools,src-openeuler/linuxdoc-tools,,2,0,130,1
3502,perl-Date-Calc,src-openeuler/perl-Date-Calc,,1,0,130,0
7480,x3270,src-openeuler/x3270,,2,0,130,0
4554,perl-Text-CharWidth,src-openeuler/perl-Text-CharWidth,,2,0,130,0
3509,perl-Date-Manip,src-openeuler/perl-Date-Manip,,3,0,130,0
3519,perl-Devel-CheckLib,src-openeuler/perl-Devel-CheckLib,,2,0,130,0
1448,itstool,src-openeuler/itstool,,3,0,130,0
1972,libgnome-keyring,src-openeuler/libgnome-keyring,,1,0,130,0
4925,pytest,src-openeuler/pytest,,7,0,130,0
786,flatpak,src-openeuler/flatpak,,6,0,130,0
4498,perl-Test-NoWarnings,src-openeuler/perl-Test-NoWarnings,,2,0,130,0
7500,xdg-user-dirs,src-openeuler/xdg-user-dirs,,3,0,130,0
4492,perl-Test-Needs,src-openeuler/perl-Test-Needs,,1,0,130,0
2249,logwatch,src-openeuler/logwatch,,2,0,130,1
7501,xdg-user-dirs-gtk,src-openeuler/xdg-user-dirs-gtk,,3,0,130,0
2985,obs-env,src-openeuler/obs-env,,3,0,130,0
7502,xdg-utils,src-openeuler/xdg-utils,,2,0,130,0
1642,jomolhari-fonts,src-openeuler/jomolhari-fonts,,1,0,130,1
1930,libdv,src-openeuler/libdv,,1,0,130,0
4204,perl-Path-Tiny,src-openeuler/perl-Path-Tiny,,2,0,130,0
3742,perl-HTML-Parser,src-openeuler/perl-HTML-Parser,,4,0,130,0
3761,perl-HTTP-Cookies,src-openeuler/perl-HTTP-Cookies,,5,0,130,0
6664,rpmdevtools,src-openeuler/rpmdevtools,,5,0,130,0
3763,perl-HTTP-Date,src-openeuler/perl-HTTP-Date,,3,0,130,0
3934,perl-MailTools,src-openeuler/perl-MailTools,,2,0,130,0
3926,perl-Mail-DKIM,src-openeuler/perl-Mail-DKIM,,3,1,130,0
25,LibRaw,src-openeuler/LibRaw,,9,0,130,0
2305,m2crypto,src-openeuler/m2crypto,,4,1,130,2
3921,perl-MRO-Compat,src-openeuler/perl-MRO-Compat,,1,0,130,0
3768,perl-HTTP-Message,src-openeuler/perl-HTTP-Message,,4,0,130,0
6634,rhnlib,src-openeuler/rhnlib,,6,0,130,2
3770,perl-HTTP-Negotiate,src-openeuler/perl-HTTP-Negotiate,,1,0,130,0
3797,perl-IO-HTML,src-openeuler/perl-IO-HTML,,1,0,130,0
3851,perl-LWP-Protocol-https,src-openeuler/perl-LWP-Protocol-https,,1,0,130,0
3849,perl-LWP-MediaTypes,src-openeuler/perl-LWP-MediaTypes,,5,0,130,0
9,Cython,src-openeuler/Cython,,9,0,130,0
3806,perl-IO-Socket-INET6,src-openeuler/perl-IO-Socket-INET6,,1,0,130,0
1582,jdeparser2,src-openeuler/jdeparser2,,0,0,130,0
3839,perl-JSON,src-openeuler/perl-JSON,,2,0,130,0
2314,mallard-rng,src-openeuler/mallard-rng,,2,0,130,0
3752,perl-HTML-Tagset,src-openeuler/perl-HTML-Tagset,,1,0,130,0
3971,perl-Module-Build,src-openeuler/perl-Module-Build,,5,0,130,0
4198,perl-Parse-Yapp,src-openeuler/perl-Parse-Yapp,,2,0,130,0
